Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts,Component Link,Open Hub URL
,61e5629d-333f-488e-a5b4-8fef326c1c55,666b4f9d-3cde-4b5f-8bbb-a7d50e80562b,Apache Commons Codec Plug-in,1.6.0,1.6.0.v201305230611,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.apache.commons.codec/1.6.0.v201305230611,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/23/13,4,,,,,,,,cebbb882-6df5-49b6-9e02-f3a7f648fd1d,false,,
,bebfc07a-0c7c-46f1-9645-2dcae4ce6bef,5a9145b8-32eb-493b-bd5e-d748e5bd9c7b,Apache Felix Gogo Command,0.10.0.v201209301215,0.10.0.v201209301215,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,org.apache.felix:org.apache.felix.gogo.command:0.10.0.v201209301215,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/27/13,6,,,,,,,,3c1258fc-9865-404f-ab4c-3c5f6f9e7a8d,false,http://felix.apache.org/gogo-parent/org.apache.felix.gogo.command/,
,0cfb27a0-4b2c-448a-86f9-42184a05a3b9,91f692ec-7ec5-4a7c-8c41-b8e02338c25d,Apache Felix Gogo Runtime,0.10.0.v201209301036,0.10.0.v201209301036,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,org.apache.felix:org.apache.felix.gogo.runtime:0.10.0.v201209301036,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/27/13,30,,,,,,,,b733300f-e200-4693-a0cd-13681d84fbfe,false,http://felix.apache.org/gogo-parent/org.apache.felix.gogo.runtime/,
,3783490b-73cc-4e89-8585-15910f8ca91e,e2c4519d-cfa2-425e-b50f-d774d8e98c73,Apache Felix Gogo Shell,0.10.0.v201212101605,0.10.0.v201212101605,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,org.apache.felix:org.apache.felix.gogo.shell:0.10.0.v201212101605,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/27/13,5,,,,,,,,f128a3f2-d2d8-423a-a007-dc0cecd1309f,false,http://felix.apache.org/gogo-parent/org.apache.felix.gogo.shell/,
,f624d758-10d3-449d-96d2-d4fc12499fda,49a1ba9b-64a1-47e1-ae46-c4c06a020e5a,Apache HttpClient,4.2.1,4.2.1-atlassian-5,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,org.apache.httpcomponents:httpclient-cache:4.2.1-atlassian-5,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,4,0,5/1/12,273,STABLE,0,0,,,,,0f6dadd8-ab94-4ba0-b4bc-12e24f031db4,false,https://hc.apache.org/httpcomponents-client-ga/,https://www.openhub.net/p/4418
,f624d758-10d3-449d-96d2-d4fc12499fda,823fa057-4929-4995-a050-b82977358995,Apache HttpClient,4.2.6,4.2.6,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,org.apache.httpcomponents:httpclient:4.2.6,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,7,OK,UNREVIEWED,,UNREVIEWED,,0,0,4,0,9/4/13,212,STABLE,0,0,,,,,110ee119-c10a-4f9f-af86-e47ae320f329,false,https://hc.apache.org/httpcomponents-client-ga/,https://www.openhub.net/p/4418
,a5982f02-960c-4166-9d74-6896b3d0a883,65e39c23-3bd5-4bb1-bb87-eee1117ff144,Apache HttpClient OSGi bundle,4.2.6,4.2.6.v201311072007,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.apache.httpcomponents.httpclient/4.2.6.v201311072007,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/7/13,6,,,,,,,,fc39377e-c10c-4712-8ca6-5af626c350e6,false,,
,ca433569-ea2e-4c78-b53d-106843ec1f58,4d169a77-69e6-4044-a10b-46ec0d7e5857,Apache HttpComponents Core,4.2.5,4.2.5.redhat-3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,org.apache.httpcomponents:httpcore:4.2.5.redhat-3,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,4,OK,UNREVIEWED,,UNREVIEWED,,0,0,2,0,4/19/13,131,STABLE,0,0,,,,,74a854ca-5930-4741-ac28-b6b7a2e64add,false,http://hc.apache.org/httpcomponents-core/,https://www.openhub.net/p/5259
,586da84e-46ce-4871-a403-c3b7db5e6430,ea9dce4e-6f32-48f9-8bed-0ab6e289bfe4,Apache HttpComponents HttpCore (Source),4.2.5,4.2.5.v201311072007,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Files Added/Deleted,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.apache.httpcomponents.httpcore.source/4.2.5.v201311072007,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/7/13,6,,,,,,,,7adc07e2-15ce-42ef-9932-bb4aa3fc4f57,false,,
,56d9341e-271a-4c5b-aef3-3828b875382a,c5da554a-b1d2-4deb-a2fa-a15e6009c76c,Apache HttpMime,4.2.6,4.2.6,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,org.apache.httpcomponents:httpmime:4.2.6,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,2,0,9/4/13,27,,,,,,,,61265c5c-f547-4182-a312-31d41b806203,false,http://hc.apache.org/httpcomponents-client,
,9f74f66e-5c27-48d0-9083-e31e3563b7b2,60b0e961-27eb-4eb5-9627-cfbb34f6f32a,Apache Lucene,3.5.0,3.5.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,org.apache.lucene:lucene-core:3.5.0,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/25/11,2326,DECREASING,780,85,,,,,eb0eee4c-ae67-4d0e-a032-21bdb5c898f8,false,http://lucene.apache.org/,https://www.openhub.net/p/3564
,21e2950b-5235-40ce-b826-e721d835bb40,36036df6-c66b-4c4d-bd8e-5ede751ec9db,Apache Lucene Analysis,3.5.0.v20120725-1805,3.5.0.v20120725-1805,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/8/22,unknown,,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/25/12,2,,,,,,,,6650bddc-3e86-491d-b73b-2f18b8bb5b77,false,https://lucene.apache.org/core/index.html,
,e9733443-0768-437b-b973-f1de89cc7665,d775da17-5803-4c02-8fbc-dce181b106d3,Apache XML Commons,2.11.0,2.11.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/8/22,maven,xerces:xmlParserAPIs:2.11.0,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,7,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/3/12,2,INCREASING,1,1,,,,,dd1aaf3c-ea19-4034-a886-158b40349e8e,false,http://xerces.apache.org/xml-commons/,https://www.openhub.net/p/5471
